State Legislative District,Office,Party,Candidate,Votes
House 35,Governor,Dem,Tom Wolf,2038
House 35,Governor,Grn,Paul Glover,10
House 35,Governor,Lib,Ken V. Krawchuk,24
House 35,Governor,Rep,Scott R. Wagner,1440
House 36,Governor,,WRITE-IN,7
House 36,Governor,Dem,Tom Wolf,4254
House 36,Governor,Grn,Paul Glover,28
House 36,Governor,Lib,Ken V. Krawchuk,89
House 36,Governor,Rep,Scott R. Wagner,2678
House 37,Governor,,Write-ins,23
House 37,Governor,DEM,Tom Wolf,5591
House 37,Governor,GRN,Paul Glover,70
House 37,Governor,LIB,Ken V. Krawchuk,254
House 37,Governor,REP,Scott R. Wagner,10141
House 38,Governor,,WRITE-IN,6
House 38,Governor,Dem,Tom Wolf,3262
House 38,Governor,Grn,Paul Glover,23
House 38,Governor,Lib,Ken V. Krawchuk,51
House 38,Governor,Rep,Scott R. Wagner,2226
House 39,Governor,,WRITE-IN,1
House 39,Governor,,Write-ins,5
House 39,Governor,DEM,Tom Wolf,2300
House 39,Governor,Dem,Tom Wolf,716
House 39,Governor,GRN,Paul Glover,36
House 39,Governor,Grn,Paul Glover,5
House 39,Governor,LIB,Ken V. Krawchuk,85
House 39,Governor,Lib,Ken V. Krawchuk,19
House 39,Governor,REP,Scott R. Wagner,2843
House 39,Governor,Rep,Scott R. Wagner,438
House 41,Governor,,Write-ins,9
House 41,Governor,DEM,Tom Wolf,7015
House 41,Governor,GRN,Paul Glover,64
House 41,Governor,LIB,Ken V. Krawchuk,178
House 41,Governor,REP,Scott R. Wagner,5993
House 42,Governor,,WRITE-IN,13
House 42,Governor,Dem,Tom Wolf,15664
House 42,Governor,Grn,Paul Glover,96
House 42,Governor,Lib,Ken V. Krawchuk,207
House 42,Governor,Rep,Scott R. Wagner,5486
House 43,Governor,,Write-ins,4
House 43,Governor,DEM,Tom Wolf,1783
House 43,Governor,GRN,Paul Glover,18
House 43,Governor,LIB,Ken V. Krawchuk,52
House 43,Governor,REP,Scott R. Wagner,2200
House 44,Governor,,WRITE-IN,6
