State Legislative District,Office,Candidate,Party,Votes
Senate 26,Governor/Lieutenant Governor,,Write-in,7
Senate 26,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,213
Senate 26,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6544
Senate 26,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,281
Senate 26,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10117
Senate 27,Governor/Lieutenant Governor,,Write-in,5
Senate 27,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,147
Senate 27,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,10964
Senate 27,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,361
Senate 27,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,13743
Senate 28,Governor/Lieutenant Governor,,Write-in,4
Senate 28,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,442
Senate 28,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,7424
Senate 28,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,239
Senate 28,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10013
Senate 29,Governor/Lieutenant Governor,,Write-in,5
Senate 29,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,326
Senate 29,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,11875
Senate 29,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,393
Senate 29,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,16730
Senate 30,Governor/Lieutenant Governor,,Write-in,15
Senate 30,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,153
Senate 30,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,14932
Senate 30,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,425
Senate 30,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,12364
Senate 31,Governor/Lieutenant Governor,,Write-in,7
Senate 31,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,140
Senate 31,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,11833
Senate 31,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,331
Senate 31,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7091
Senate 32,Governor/Lieutenant Governor,,Write-in,4
Senate 32,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,144
Senate 32,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8921
Senate 32,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,327
Senate 32,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10456
Senate 33,Governor/Lieutenant Governor,,Write-in,17
Senate 33,Governor/Lieutenant Governor,CWP,Gary Siegwarth,192
Senate 33,Governor/Lieutenant Governor,DEM,Fred Hubbell,17048
Senate 33,Governor/Lieutenant Governor,LIB,Jake Porter,575
Senate 33,Governor/Lieutenant Governor,REP,Kim Reynolds,10070
Senate 34,Governor/Lieutenant Governor,,Write-in,9
Senate 34,Governor/Lieutenant Governor,CWP,Gary Siegwarth,186
Senate 34,Governor/Lieutenant Governor,DEM,Fred Hubbell,16814
Senate 34,Governor/Lieutenant Governor,LIB,Jake Porter,644
Senate 34,Governor/Lieutenant Governor,REP,Kim Reynolds,14975
Senate 35,Governor/Lieutenant Governor,,Write-in,20
Senate 35,Governor/Lieutenant Governor,CWP,Gary Siegwarth,212
Senate 35,Governor/Lieutenant Governor,DEM,Fred Hubbell,16157
Senate 35,Governor/Lieutenant Governor,LIB,Jake Porter,632
Senate 35,Governor/Lieutenant Governor,REP,Kim Reynolds,10068
Senate 36,Governor/Lieutenant Governor,,Write-in,5
Senate 36,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,76
Senate 36,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5205
Senate 36,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,196
Senate 36,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7298
Senate 37,Governor/Lieutenant Governor,,Write-in,10
Senate 37,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,141
Senate 37,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,18197
Senate 37,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,422
Senate 37,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,10987
Senate 38,Governor/Lieutenant Governor,,Write-in,12
Senate 38,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,132
Senate 38,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,8529
Senate 38,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,394
Senate 38,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,13764
Senate 39,Governor/Lieutenant Governor,,Write-in,6
Senate 39,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,132
Senate 39,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,14995
Senate 39,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,482
Senate 39,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,13705
Senate 40,Governor/Lieutenant Governor,,Write-in,5
Senate 40,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,52
Senate 40,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3365
Senate 40,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,172
Senate 40,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,8308
Senate 41,Governor/Lieutenant Governor,,Write-in,14
Senate 41,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,124
Senate 41,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,10142
Senate 41,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,368
Senate 41,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,11703
Senate 42,Governor/Lieutenant Governor,,Write-in,0
Senate 42,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,58
Senate 42,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,3608
Senate 42,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,138
Senate 42,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,4954
Senate 43,Governor/Lieutenant Governor,,Write-in,16
Senate 43,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,125
Senate 43,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,24337
Senate 43,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,403
Senate 43,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,5719
Senate 44,Governor/Lieutenant Governor,,Write-in,11
Senate 44,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,77
Senate 44,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,6651
Senate 44,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,191
Senate 44,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,6017
Senate 45,Governor/Lieutenant Governor,,Write-in,7
Senate 45,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,108
Senate 45,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,11523
Senate 45,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,349
Senate 45,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,7517
Senate 46,Governor/Lieutenant Governor,,Write-in,7
Senate 46,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,106
Senate 46,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,10223
Senate 46,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,346
Senate 46,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,11048
Senate 47,Governor/Lieutenant Governor,,Write-in,10
Senate 47,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,104
Senate 47,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,15300
Senate 47,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,429
Senate 47,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,15012
Senate 48,Governor/Lieutenant Governor,,Write-in,5
Senate 48,Governor/Lieutenant Governor,CWP,Gary Siegwarth,123
Senate 48,Governor/Lieutenant Governor,CWP,Gary Siegwarth /Natalia Blaskovich,106
Senate 48,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,30
Senate 48,Governor/Lieutenant Governor,DEM,Fred Hubbell,6748
Senate 48,Governor/Lieutenant Governor,DEM,Fred Hubbell /Rita R. Hart,2667
Senate 48,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,2172
Senate 48,Governor/Lieutenant Governor,LIB,Jake Porter,274
Senate 48,Governor/Lieutenant Governor,LIB,Jake Porter /Lynne Gentry,118
Senate 48,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,93
Senate 48,Governor/Lieutenant Governor,REP,Kim Reynolds,7336
Senate 48,Governor/Lieutenant Governor,REP,Kim Reynolds /Adam Gregg,4779
Senate 48,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,2417
Senate 49,Governor/Lieutenant Governor,,Write-in,3
Senate 49,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,131
Senate 49,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,11609
Senate 49,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,304
Senate 49,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,12428
Senate 50,Governor/Lieutenant Governor,,Write-in,6
Senate 50,Governor/Lieutenant Governor,CWP,Gary Siegwarth/Natalia Blaskovich,119
Senate 50,Governor/Lieutenant Governor,DEM,Fred Hubbell/Rita R. Hart,5551
Senate 50,Governor/Lieutenant Governor,LIB,Jake Porter/Lynne Gentry,208
Senate 50,Governor/Lieutenant Governor,REP,Kim Reynolds/Adam Gregg,3669
