State Legislative District,Office,Party,Candidate,Votes
House 28,Governor,DEM,Lupe Valdez,34749
House 28,Governor,LIB,Mark Jay Tippetts,1206
House 28,Governor,REP,Greg Abbott,47166
House 29,Governor,,Over Votes,0
House 29,Governor,,Under Votes,365
House 29,Governor,DEM,Lupe Valdez,28903
House 29,Governor,LIB,Mark Jay Tippetts,1058
House 29,Governor,REP,Greg Abbott,40189
House 30,Governor,,Cast Votes:,12238
House 30,Governor,,OVER VOTES,0
House 30,Governor,,Overvotes:,0
House 30,Governor,,UNDER VOTES,157
House 30,Governor,,Undervotes:,112
House 30,Governor,DEM,Lupe Valdez,12294
House 30,Governor,LIB,Mark Jay Tippetts,602
House 30,Governor,REP,Greg Abbott,41027
House 31,Governor,,Ballots Cast,3958
House 31,Governor,,Greg Abbott,509
House 31,Governor,,Lupe Valdez,938
House 31,Governor,,Mark Jay Tippetts,8
House 31,Governor,,Over Votes,2
House 31,Governor,,Under Votes,425
House 31,Governor,DEM,Lupe Valdez,17827
House 31,Governor,LIB,Mark Jay Tippetts,365
House 31,Governor,REP,Greg Abbott,18934
House 31,Governor,REP,Gregg Abbott,1053
House 32,Governor,,Over Votes,1
House 32,Governor,,Under Votes,455
House 32,Governor,DEM,Lupe Valdez,20413
House 32,Governor,LIB,Mark Jay Tippetts,820
House 32,Governor,REP,Greg Abbott,31191
House 33,Governor,,OVER VOTES,6
House 33,Governor,,UNDER VOTES,534
House 33,Governor,DEM,Lupe Valdez,26831
House 33,Governor,LIB,Mark Jay Tippetts,1400
House 33,Governor,REP,Greg Abbott,56584
House 34,Governor,,Over Votes,1
House 34,Governor,,Under Votes,431
House 34,Governor,DEM,Lupe Valdez,19307
House 34,Governor,LIB,Mark Jay Tippetts,492
House 34,Governor,REP,Greg Abbott,21727
House 35,Governor,,Over Votes,7
House 35,Governor,,Under Votes,555
House 35,Governor,DEM,Lupe Valdez,18432
House 35,Governor,LIB,Mark Jay Tippetts,334
House 35,Governor,REP,Greg Abbott,13538
House 36,Governor,,Over Votes,2
House 36,Governor,,Under Votes,490
House 36,Governor,DEM,Lupe Valdez,20913
House 36,Governor,LIB,Mark Jay Tippetts,359
House 36,Governor,REP,Greg Abbott,10228
House 37,Governor,,Over Votes,11
House 37,Governor,,Under Votes,887
House 37,Governor,DEM,Lupe Valdez,16397
House 37,Governor,LIB,Mark Jay Tippetts,470
House 37,Governor,REP,Greg Abbott,11365
House 38,Governor,,Over Votes,18
House 38,Governor,,Under Votes,672
House 38,Governor,DEM,Lupe Valdez,18816
House 38,Governor,LIB,Mark Jay Tippetts,469
House 38,Governor,REP,Greg Abbott,14722
House 39,Governor,,Over Votes,1
House 39,Governor,,Under Votes,563
House 39,Governor,DEM,Lupe Valdez,20178
House 39,Governor,LIB,Mark Jay Tippetts,349
House 39,Governor,REP,Greg Abbott,11486
House 40,Governor,,Over Votes,1
House 40,Governor,,Under Votes,420
House 40,Governor,DEM,Lupe Valdez,19165
House 40,Governor,LIB,Mark Jay Tippetts,316
